case_id,offender_id,crime_type,ipc_bns_section,victim_type,district,area_locality,time_pattern,method_used,mo_summary,date_reported,match_status,offender_age_band,offender_gender,offender_prior_case_count,offender_repeat_status,offender_recurrence_pattern
CASE-00892,OFF-00282,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Davanagere,PJ Extension,Evening rush (6-8 PM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - residential; evening rush (6-8 pm),2023-08-17,Linked to known offender record,56+,M,4,Repeat,Single recorded case - insufficient pattern history
CASE-01617,UNASSIGNED,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Ballari,Cowl Bazaar,Late night (11 PM-2 AM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; late night (11 pm-2 am),2025-10-20,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01855,UNASSIGNED,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Kodagu,Gonikoppal town,Early morning (4-7 AM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - residential; early morning (4-7 am),2025-08-15,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01375,OFF-00419,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Koppal,Gangavathi Road area,Late night (11 PM-2 AM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; late night (11 pm-2 am)",2025-12-23,Linked to known offender record,36-45,M,5,Repeat,Alternates between two known methods
CASE-00842,OFF-00262,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Udupi,Manipal,Weekday mornings,"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Elderly pedestrian; weekday mornings",2023-01-02,Linked to known offender record,18-25,M,2,Repeat,Single recorded case - insufficient pattern history
CASE-00939,OFF-00294,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Bengaluru Urban,Koramangala,Weekend nights,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekend nights",2023-12-25,Linked to known offender record,56+,F,2,Repeat,Escalating frequency over last 6 months
CASE-01693,UNASSIGNED,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Ramanagara,Bengaluru-Mysuru Highway area,Evening rush (6-8 PM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; evening rush (6-8 pm),2024-02-04,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01767,UNASSIGNED,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Bidar,Chidri,Evening rush (6-8 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; evening rush (6-8 pm)",2023-03-09,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01547,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Chikkaballapur,Bus Stand area,Early morning (4-7 AM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Currency exchange; early morning (4-7 am),2023-01-02,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01175,OFF-00356,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Uttara Kannada,Karwar town,Evening rush (6-8 PM),Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; evening rush (6-8 pm),2024-05-26,Linked to known offender record,46-55,F,6,Repeat,Consistent MO across all recorded cases
CASE-01597,UNASSIGNED,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Kolar,Bangarpet Road area,Midday (12-3 PM),"Lock-breaking, rear entry","Lock-breaking, rear entry; target: Vacant residence; midday (12-3 pm)",2024-01-19,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00255,OFF-00075,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Bengaluru Rural,Devanahalli town,Weekend nights,Window grille cutting,Window grille cutting; target: Ground-floor apartment; weekend nights,2024-06-27,Linked to known offender record,36-45,F,1,First recorded instance,Escalating frequency over last 6 months
CASE-01462,OFF-00445,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Vijayapura,Athani Road area,Midday (12-3 PM),"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; midday (12-3 pm)",2025-09-18,Linked to known offender record,46-55,F,6,Repeat,Alternates between two known methods
CASE-00944,OFF-00295,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Chikkaballapur,MG Road area,Weekend nights,Bulk note circulation via shop network,Bulk note circulation via shop network; target: Currency exchange; weekend nights,2024-10-31,Linked to known offender record,56+,F,4,Repeat,Escalating frequency over last 6 months
CASE-01731,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Chikkamagaluru,Kalasapura,Midday (12-3 PM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Elderly pedestrian; midday (12-3 pm)",2023-05-12,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00435,OFF-00140,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Mandya,Bannur Road area,Evening rush (6-8 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; evening rush (6-8 pm)",2024-11-12,Linked to known offender record,56+,F,4,Repeat,Single recorded case - insufficient pattern history
CASE-00292,OFF-00089,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Shivamogga,Gopala Extension,Weekday mornings,"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; weekday mornings",2025-04-27,Linked to known offender record,26-35,M,2,Repeat,Long gap then resurgence with same MO
CASE-01822,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Mangaluru (Dakshina Kannada),Kadri,Midday (12-3 PM),Cash-for-goods swap,Cash-for-goods swap; target: Small retail shop; midday (12-3 pm),2025-07-19,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01357,OFF-00412,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Davanagere,Shamanur Road area,Evening rush (6-8 PM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; evening rush (6-8 pm),2025-07-06,Linked to known offender record,26-35,F,2,Repeat,Consistent MO across all recorded cases
CASE-01184,OFF-00358,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Haveri,Old Town,Late night (11 PM-2 AM),Relay key attack,Relay key attack; target: Parked vehicle - street; late night (11 pm-2 am),2023-08-25,Linked to known offender record,36-45,F,1,First recorded instance,Single recorded case - insufficient pattern history
CASE-01021,OFF-00315,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Ramanagara,Bengaluru-Mysuru Highway area,Weekday mornings,Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; weekday mornings,2024-01-08,Linked to known offender record,46-55,F,3,Repeat,Consistent MO across all recorded cases
CASE-00263,OFF-00077,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Ramanagara,Town Centre,Late night (11 PM-2 AM),Bag slit and remove,Bag slit and remove; target: Market crowd; late night (11 pm-2 am),2024-07-17,Linked to known offender record,56+,F,5,Repeat,Long gap then resurgence with same MO
CASE-00161,OFF-00047,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Hassan,Bus Stand area,Weekday mornings,Window grille cutting,Window grille cutting; target: Vacant residence; weekday mornings,2023-03-30,Linked to known offender record,18-25,F,6,Repeat,Escalating frequency over last 6 months
CASE-00628,OFF-00199,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Uttara Kannada,Kumta town,Weekday mornings,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekday mornings",2024-07-15,Linked to known offender record,46-55,M,6,Repeat,Single recorded case - insufficient pattern history
CASE-01529,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Uttara Kannada,Karwar town,Late night (11 PM-2 AM),Crowd distraction lift,Crowd distraction lift; target: Bus/rail commuter; late night (11 pm-2 am),2025-12-27,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00634,OFF-00201,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Tumakuru,Kunigal Road area,Midday (12-3 PM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: First-time UPI user; midday (12-3 pm),2024-05-02,Linked to known offender record,46-55,F,6,Repeat,Consistent MO across all recorded cases
CASE-01264,OFF-00382,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Mysuru,Bannimantap,Midday (12-3 PM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; midday (12-3 pm),2024-09-02,Linked to known offender record,26-35,F,3,Repeat,Consistent MO across all recorded cases
CASE-00882,OFF-00279,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Ramanagara,Town Centre,Early morning (4-7 AM),Window grille cutting,Window grille cutting; target: Vacant residence; early morning (4-7 am),2025-07-12,Linked to known offender record,46-55,F,3,Repeat,Consistent MO across all recorded cases
CASE-01243,OFF-00376,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Shivamogga,Durgigudi,Late night (11 PM-2 AM),Late-night forced entry,Late-night forced entry; target: Jewellery shop; late night (11 pm-2 am),2025-07-30,Linked to known offender record,46-55,M,5,Repeat,Consistent MO across all recorded cases
CASE-00274,OFF-00083,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Kodagu,Madikeri town,Weekend nights,Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - residential; weekend nights,2023-06-06,Linked to known offender record,26-35,F,1,First recorded instance,Long gap then resurgence with same MO
CASE-00212,OFF-00062,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Gadag,Station Road area,Evening rush (6-8 PM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; evening rush (6-8 pm),2023-09-18,Linked to known offender record,56+,M,5,Repeat,Consistent MO across all recorded cases
CASE-00473,OFF-00150,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Hassan,Race Course Road area,Weekend nights,"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Elderly pedestrian; weekend nights",2023-07-15,Linked to known offender record,18-25,F,5,Repeat,Long gap then resurgence with same MO
CASE-00288,OFF-00088,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Yadgir,Bus Stand area,Midday (12-3 PM),Relay key attack,Relay key attack; target: Parked vehicle - street; midday (12-3 pm),2025-08-19,Linked to known offender record,56+,F,5,Repeat,Escalating frequency over last 6 months
CASE-00364,OFF-00118,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Ramanagara,Town Centre,Evening rush (6-8 PM),Late-night forced entry,Late-night forced entry; target: Small retail shop; evening rush (6-8 pm),2023-12-21,Linked to known offender record,26-35,F,3,Repeat,Consistent MO across all recorded cases
CASE-01309,OFF-00395,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Uttara Kannada,Kumta town,Late night (11 PM-2 AM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - residential; late night (11 pm-2 am),2023-10-13,Linked to known offender record,46-55,M,3,Repeat,Alternates between two known methods
CASE-00484,OFF-00154,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Yadgir,Station Road area,Late night (11 PM-2 AM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: First-time UPI user; late night (11 pm-2 am),2023-08-15,Linked to known offender record,46-55,M,3,Repeat,Long gap then resurgence with same MO
CASE-00619,OFF-00195,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Mysuru,Bannimantap,Midday (12-3 PM),Late-night forced entry,Late-night forced entry; target: Small retail shop; midday (12-3 pm),2025-09-06,Linked to known offender record,26-35,F,4,Repeat,Escalating frequency over last 6 months
CASE-00244,OFF-00072,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Kodagu,Madikeri town,Evening rush (6-8 PM),Late-night forced entry,Late-night forced entry; target: Small retail shop; evening rush (6-8 pm),2024-08-19,Linked to known offender record,18-25,F,6,Repeat,Alternates between two known methods
CASE-01213,OFF-00366,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Mangaluru (Dakshina Kannada),Kadri,Weekend nights,Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Elderly pedestrian; weekend nights,2023-03-30,Linked to known offender record,36-45,F,3,Repeat,Alternates between two known methods
CASE-00928,OFF-00291,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Tumakuru,Kunigal Road area,Weekend nights,"Lock-breaking, rear entry","Lock-breaking, rear entry; target: Vacant residence; weekend nights",2025-12-31,Linked to known offender record,18-25,F,2,Repeat,Alternates between two known methods
CASE-01757,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Kodagu,Madikeri town,Evening rush (6-8 PM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Elderly pedestrian; evening rush (6-8 pm)",2023-08-24,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00355,OFF-00113,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Hassan,Bus Stand area,Midday (12-3 PM),Crowd distraction lift,Crowd distraction lift; target: Market crowd; midday (12-3 pm),2024-11-27,Linked to known offender record,36-45,F,3,Repeat,Alternates between two known methods
CASE-00797,OFF-00248,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Bengaluru Urban,Banashankari,Late night (11 PM-2 AM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - commercial area; late night (11 pm-2 am),2024-11-07,Linked to known offender record,18-25,M,2,Repeat,Single recorded case - insufficient pattern history
CASE-00434,OFF-00139,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Gadag,Betageri,Midday (12-3 PM),Relay key attack,Relay key attack; target: Parked vehicle - street; midday (12-3 pm),2025-12-03,Linked to known offender record,36-45,F,2,Repeat,Consistent MO across all recorded cases
CASE-01607,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Raichur,Station Road area,Late night (11 PM-2 AM),"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; late night (11 pm-2 am)",2023-07-26,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01347,OFF-00408,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Bengaluru Rural,Hoskote town,Evening rush (6-8 PM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - residential; evening rush (6-8 pm),2024-11-18,Linked to known offender record,36-45,F,3,Repeat,Alternates between two known methods
CASE-01646,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Hassan,Race Course Road area,Late night (11 PM-2 AM),Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; late night (11 pm-2 am),2023-05-27,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01816,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Belagavi,Camp Area,Weekday mornings,Cash-for-goods swap,Cash-for-goods swap; target: Currency exchange; weekday mornings,2024-05-01,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01759,UNASSIGNED,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Bengaluru Urban,Banashankari,Weekday mornings,Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; weekday mornings,2024-04-14,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00053,OFF-00016,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Mysuru,Jayalakshmipuram,Weekday mornings,Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; weekday mornings,2025-11-07,Linked to known offender record,56+,F,5,Repeat,Consistent MO across all recorded cases
CASE-00334,OFF-00105,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Haveri,Bypass Road area,Late night (11 PM-2 AM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; late night (11 pm-2 am),2023-06-02,Linked to known offender record,18-25,M,5,Repeat,Long gap then resurgence with same MO
CASE-01673,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Tumakuru,Ashoknagar,Early morning (4-7 AM),Crowd distraction lift,Crowd distraction lift; target: Bus/rail commuter; early morning (4-7 am),2023-09-21,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01576,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Mysuru,Kuvempunagar,Evening rush (6-8 PM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; evening rush (6-8 pm),2025-02-13,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00547,OFF-00173,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Chamarajanagar,Town Centre,Evening rush (6-8 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; evening rush (6-8 pm)",2025-10-14,Linked to known offender record,18-25,M,3,Repeat,Escalating frequency over last 6 months
CASE-01189,OFF-00360,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Kalaburagi,Sedam Road area,Weekday mornings,Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; weekday mornings,2025-01-18,Linked to known offender record,46-55,M,5,Repeat,Consistent MO across all recorded cases
CASE-01885,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Shivamogga,Vinoba Nagar,Early morning (4-7 AM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Currency exchange; early morning (4-7 am),2024-02-03,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01650,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Shivamogga,Vinoba Nagar,Early morning (4-7 AM),Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; early morning (4-7 am),2025-08-29,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01306,OFF-00393,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Hassan,Bus Stand area,Late night (11 PM-2 AM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: First-time UPI user; late night (11 pm-2 am),2025-01-20,Linked to known offender record,26-35,M,4,Repeat,Escalating frequency over last 6 months
CASE-00814,OFF-00255,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Vijayapura,Station Area,Midday (12-3 PM),Relay key attack,Relay key attack; target: Parked vehicle - street; midday (12-3 pm),2025-07-06,Linked to known offender record,56+,F,6,Repeat,Escalating frequency over last 6 months
CASE-01010,OFF-00312,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Haveri,Old Town,Midday (12-3 PM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - residential; midday (12-3 pm),2025-11-27,Linked to known offender record,46-55,F,6,Repeat,Escalating frequency over last 6 months
CASE-00924,OFF-00289,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Tumakuru,SS Puram,Weekday mornings,Window grille cutting,Window grille cutting; target: Vacant residence; weekday mornings,2025-01-26,Linked to known offender record,26-35,M,6,Repeat,Alternates between two known methods
CASE-01013,OFF-00312,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Haveri,Bypass Road area,Midday (12-3 PM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - residential; midday (12-3 pm),2024-06-10,Linked to known offender record,46-55,F,6,Repeat,Escalating frequency over last 6 months
CASE-00318,OFF-00100,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Koppal,Old Town,Early morning (4-7 AM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; early morning (4-7 am),2023-08-07,Linked to known offender record,46-55,F,2,Repeat,Alternates between two known methods
CASE-00636,OFF-00201,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Chikkamagaluru,Kalasapura,Midday (12-3 PM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; midday (12-3 pm),2024-03-29,Linked to known offender record,46-55,F,6,Repeat,Consistent MO across all recorded cases
CASE-01608,UNASSIGNED,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Shivamogga,Durgigudi,Early morning (4-7 AM),"Lock-breaking, rear entry","Lock-breaking, rear entry; target: Vacant residence; early morning (4-7 am)",2025-01-11,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00309,OFF-00097,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Mysuru,Kuvempunagar,Early morning (4-7 AM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; early morning (4-7 am),2025-04-14,Linked to known offender record,26-35,M,5,Repeat,Long gap then resurgence with same MO
CASE-00730,OFF-00231,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Tumakuru,Ashoknagar,Weekday mornings,Crowd distraction lift,Crowd distraction lift; target: Market crowd; weekday mornings,2024-09-09,Linked to known offender record,56+,M,5,Repeat,Single recorded case - insufficient pattern history
CASE-00985,OFF-00304,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Tumakuru,SS Puram,Late night (11 PM-2 AM),"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; late night (11 pm-2 am)",2025-11-25,Linked to known offender record,46-55,F,5,Repeat,Escalating frequency over last 6 months
CASE-00154,OFF-00045,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Bengaluru Rural,Devanahalli town,Late night (11 PM-2 AM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; late night (11 pm-2 am),2025-04-11,Linked to known offender record,46-55,M,1,First recorded instance,Escalating frequency over last 6 months
CASE-01795,UNASSIGNED,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Raichur,Station Road area,Late night (11 PM-2 AM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: First-time UPI user; late night (11 pm-2 am),2024-02-08,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00553,OFF-00175,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Ballari,Cowl Bazaar,Weekday mornings,Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; weekday mornings,2023-06-15,Linked to known offender record,26-35,F,4,Repeat,Consistent MO across all recorded cases
CASE-01345,OFF-00408,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Bengaluru Rural,Hoskote town,Evening rush (6-8 PM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - commercial area; evening rush (6-8 pm),2023-12-01,Linked to known offender record,36-45,F,3,Repeat,Alternates between two known methods
CASE-01631,UNASSIGNED,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Haveri,Old Town,Weekday mornings,Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; weekday mornings,2025-03-04,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01046,OFF-00322,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Kodagu,Madikeri town,Late night (11 PM-2 AM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; late night (11 pm-2 am),2024-04-15,Linked to known offender record,56+,M,2,Repeat,Single recorded case - insufficient pattern history
CASE-00094,OFF-00028,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Bengaluru Rural,Hoskote town,Early morning (4-7 AM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; early morning (4-7 am)",2024-06-05,Linked to known offender record,46-55,F,5,Repeat,Alternates between two known methods
CASE-01945,UNASSIGNED,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Koppal,Gangavathi Road area,Early morning (4-7 AM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; early morning (4-7 am)",2023-04-24,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00258,OFF-00076,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Bidar,Chidri,Weekday mornings,Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - commercial area; weekday mornings,2025-10-20,Linked to known offender record,46-55,F,3,Repeat,Escalating frequency over last 6 months
CASE-01515,UNASSIGNED,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Mandya,Ashok Nagar,Weekday mornings,Relay key attack,Relay key attack; target: Parked vehicle - street; weekday mornings,2025-05-18,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01783,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Koppal,Gangavathi Road area,Weekend nights,Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; weekend nights,2023-08-09,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00340,OFF-00108,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Mandya,Vidyanagar,Evening rush (6-8 PM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: First-time UPI user; evening rush (6-8 pm),2024-02-13,Linked to known offender record,26-35,F,2,Repeat,Alternates between two known methods
CASE-00001,OFF-00001,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Mysuru,Vijayanagar,Late night (11 PM-2 AM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - commercial area; late night (11 pm-2 am),2023-08-16,Linked to known offender record,46-55,M,3,Repeat,Single recorded case - insufficient pattern history
